ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION,REGISTRY_ID,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MAD128422870,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,07/28/2005,Y  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/28/2011,U  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD128422870,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/11/2019,N  ,110000311957,METALOR REFINING,255 JOHN L DIETSCH BOULEVARD,NORTH ATTLEBORO,MA,2761,BRISTOL,1,41.98305,-71.30004,10900040401,4,10.687000000000001,1636.3,http://echo.epa.gov/detailed-facility-report?fid=110000311957
MAD006954267,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/17/1992,Y  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAD006954267,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/31/1993,N  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAD006954267,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/02/1994,N  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAD006954267,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/26/1984,N  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAR000014308,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/11/2009,N  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAR000014308,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/14/2001,N  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAR000014308,MA,001,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/02/2012,Y  ,110000311779,SOMERSET POWER GENERATING STATION,1606 RIVERSIDE AVENUE,SOMERSET,MA,2726,BRISTOL,1,41.7378,-71.1453,10900040804,4,11.815,2621.5,http://echo.epa.gov/detailed-facility-report?fid=110000311779
MAC300098589,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/08/2020,Y  ,110063851988,BOSTON GREEN FUEL COMPANY INC,102 CHARLES ELDRIDGE DR,LAKEVILLE,MA,2347,PLYMOUTH,1,41.875042,-70.948712,10900040204,4,6.5,612.16,http://echo.epa.gov/detailed-facility-report?fid=110063851988
MAD063909774,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/18/2013,Y  ,110003440107,BROUGHAM MOTORS INC,483 BEDFORD ST,FALL RIVER,MA,2720,BRISTOL,1,41.700379999999996,-71.14698,10900040803,4,15.727,4653.53,http://echo.epa.gov/detailed-facility-report?fid=110003440107
MAD980671846,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/07/1991,Y  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/16/1992,N  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,000,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/30/1996,Y  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/09/1997,Y  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/31/1989,Y  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,001,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,08/21/1998,N  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/09/2018,Y  ,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAC300013448,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/26/2010,Y  ,110040410310,JORDI LABS LLC,8 MILL ST,BELLINGHAM,MA,2019,NORFOLK,1,42.08858,-71.47216999999999,10900010601,4,7.977,717.04,http://echo.epa.gov/detailed-facility-report?fid=110040410310
MAR000503474,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/14/2003,N  ,110012264842,JRD INC,3 SAMMYS LN,FREETOWN,MA,2702,BRISTOL,1,41.80127,-71.07072,10900040802,4,3.846,323.3,http://echo.epa.gov/detailed-facility-report?fid=110012264842
MAR000006593,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/31/1995,Y  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,000,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,02/07/1996,N  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,001,FCI,FOCUSED COMPLIANCE INSPECTION,S  ,02/07/2006,N  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/04/2010,N  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,001,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/22/2015,N  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/27/2014,Y  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/25/2019,N  ,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAD982202764,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/29/1989,Y  ,110003480279,BBI INC,10 COMMERCIAL DR,WRENTHAM,MA,2093,NORFOLK,1,42.05117,-71.30041999999999,10900040301,4,5.452000000000001,678.73,http://echo.epa.gov/detailed-facility-report?fid=110003480279
MAD982202764,MA,002,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,02/02/1990,N  ,110003480279,BBI INC,10 COMMERCIAL DR,WRENTHAM,MA,2093,NORFOLK,1,42.05117,-71.30041999999999,10900040301,4,5.452000000000001,678.73,http://echo.epa.gov/detailed-facility-report?fid=110003480279
MAD097434427,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/08/1985,Y  ,110001938707,CONSOLIDATED COATING,25 HOPEDALE ST,HOPEDALE,MA,1747,WORCESTER,1,42.13247,-71.54275,10900030205,4,14.705,1271.07,http://echo.epa.gov/detailed-facility-report?fid=110001938707
MAD097434427,MA,002,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,12/06/1985,N  ,110001938707,CONSOLIDATED COATING,25 HOPEDALE ST,HOPEDALE,MA,1747,WORCESTER,1,42.13247,-71.54275,10900030205,4,14.705,1271.07,http://echo.epa.gov/detailed-facility-report?fid=110001938707
MAD985314277,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/14/1996,N  ,110006505308,POLAROID CORPORATION,153 NEEDHAM ST BLDG 2,NEWTON,MA,2464,MIDDLESEX,1,42.312265999999994,-71.21289200000001,10900010703,4,18.811,3803.12,http://echo.epa.gov/detailed-facility-report?fid=110006505308
MAC300011426,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/13/2009,Y  ,110024339624,CENTRAL DRAPERY AND DRYCLEANI,420 WATERTOWN ST,NEWTON,MA,2458,MIDDLESEX,1,42.35978,-71.2027,10900010704,4,24.006999999999998,6949.69,http://echo.epa.gov/detailed-facility-report?fid=110024339624
MAD019687607,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/16/1995,N  ,110007224636,DEPENDABLE CLEANERS,152 GALEN STREET,WATERTOWN,MA,2472,MIDDLESEX,1,42.359988,-71.185373,10900010704,4,25.15,8002.9,http://echo.epa.gov/detailed-facility-report?fid=110007224636
MAR000016592,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/14/2001,N  ,110006813902,BARRY INDUSTRIES,60 WALTON STREET,ATTLEBORO,MA,2703,BRISTOL,1,41.95778,-71.29951,10900040401,4,14.228,1774.39,http://echo.epa.gov/detailed-facility-report?fid=110006813902
MAR000016592,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/06/2018,Y  ,110006813902,BARRY INDUSTRIES,60 WALTON STREET,ATTLEBORO,MA,2703,BRISTOL,1,41.95778,-71.29951,10900040401,4,14.228,1774.39,http://echo.epa.gov/detailed-facility-report?fid=110006813902
MAD985275478,MA,001,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,09/16/1988,Y  ,110031236446,"WASTE MANAGEMENT OF MA, INC",205 O'NEIL BLVD,ATTLEBORO,MA,2703,BRISTOL,1,41.938536,-71.276119,10900040401,4,15.280999999999999,1407.97,http://echo.epa.gov/detailed-facility-report?fid=110031236446
MAD001011071,MA,004,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/27/1988,Y  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,005,NRR,NON-FINANCIAL RECORD REVIEW,S  ,08/17/1988,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,006,NRR,NON-FINANCIAL RECORD REVIEW,S  ,09/09/1988,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/13/1991,Y  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,000,FUI,FOLLOW-UP INSPECTION,S  ,02/13/1992,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/21/1997,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/23/1984,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/10/2001,Y  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,11/24/2004,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,003,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/10/1986,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/19/2008,N  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,002,NRR,NON-FINANCIAL RECORD REVIEW,E  ,04/23/1984,Y  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/06/2015,Y  ,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD982545758,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/12/2007,Y  ,110024340854,PLAINVILLE CROSSING DRYCLEANERS,13 TAUNTON ST,PLAINVILLE,MA,2762,NORFOLK,1,42.01063,-71.30566,10900040301,4,7.871,1203.49,http://echo.epa.gov/detailed-facility-report?fid=110024340854
MAD985307958,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/28/2008,Y  ,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,001,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,04/10/2009,N  ,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/05/2002,Y  ,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/06/2009,Y  ,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985293943,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/02/1999,N  ,110003492248,LION LABELS INC,15 HAMPDEN DR,EASTON,MA,2375,BRISTOL,1,42.04776,-71.07213,10900040103,4,28.904,1431.06,http://echo.epa.gov/detailed-facility-report?fid=110003492248
MAD115252710,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/25/1995,Y  ,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,000,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/24/1995,N  ,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,000,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,01/30/1996,N  ,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD063894786,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,05/30/1996,N  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,000,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/16/1997,Y  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,000,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,08/21/1997,N  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/05/1990,Y  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/23/1999,N  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,001,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/03/2004,N  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,002,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,07/02/1990,N  ,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
