ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE,REGISTRY_ID,FAC_NAME,FAC_STREET,FAC_CITY,FAC_STATE,FAC_ZIP,FAC_COUNTY,FAC_EPA_REGION,FAC_LAT,FAC_LONG,FAC_DERIVED_WBD,FAC_DERIVED_CD113,FAC_PERCENT_MINORITY,FAC_POP_DEN,DFR_URL
MAD980671846,MA,262.A,Standards Applicable to Generators of HW: General,S  ,10/31/1989,12/28/1989,,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,268.A,Land Disposal Restrictions: General,S  ,10/31/1989,03/30/1990,04/09/1990,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAD980671846,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/09/1997,08/21/1998,,110003455056,BOSTOMATIC,125 FORTUNE BOULEVARD (GRANITE PARK),MILFORD,MA,1757,WORCESTER,1,42.16172,-71.50505,10900010601,4,14.925999999999998,1330.93,http://echo.epa.gov/detailed-facility-report?fid=110003455056
MAC300013448,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/26/2010,01/29/2010,,110040410310,JORDI LABS LLC,8 MILL ST,BELLINGHAM,MA,2019,NORFOLK,1,42.08858,-71.47216999999999,10900010601,4,7.977,717.04,http://echo.epa.gov/detailed-facility-report?fid=110040410310
MAR000006593,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/31/1995,02/07/1996,10/01/1995,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/27/2014,01/22/2015,,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAR000006593,MA,262.A,Standards Applicable to Generators of HW: General,S  ,07/31/1995,02/07/1996,10/01/1995,110008419611,GIP WAKEFIELD LLC DBA,178 CRESCENT RD,NEEDHAM,MA,2494,NORFOLK,1,42.29701,-71.2394,10900010703,4,16.303,2728.3,http://echo.epa.gov/detailed-facility-report?fid=110008419611
MAD982202764,MA,262.A,Standards Applicable to Generators of HW: General,S  ,11/29/1989,02/02/1990,03/18/1990,110003480279,BBI INC,10 COMMERCIAL DR,WRENTHAM,MA,2093,NORFOLK,1,42.05117,-71.30041999999999,10900040301,4,5.452000000000001,678.73,http://echo.epa.gov/detailed-facility-report?fid=110003480279
MAD097434427,MA,262.A,Standards Applicable to Generators of HW: General,S  ,11/08/1985,12/06/1985,11/22/1985,110001938707,CONSOLIDATED COATING,25 HOPEDALE ST,HOPEDALE,MA,1747,WORCESTER,1,42.13247,-71.54275,10900030205,4,14.705,1271.07,http://echo.epa.gov/detailed-facility-report?fid=110001938707
MAC300011426,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,01/13/2009,02/26/2010,,110024339624,CENTRAL DRAPERY AND DRYCLEANI,420 WATERTOWN ST,NEWTON,MA,2458,MIDDLESEX,1,42.35978,-71.2027,10900010704,4,24.006999999999998,6949.69,http://echo.epa.gov/detailed-facility-report?fid=110024339624
MAC300011426,MA,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,01/13/2009,02/26/2010,,110024339624,CENTRAL DRAPERY AND DRYCLEANI,420 WATERTOWN ST,NEWTON,MA,2458,MIDDLESEX,1,42.35978,-71.2027,10900010704,4,24.006999999999998,6949.69,http://echo.epa.gov/detailed-facility-report?fid=110024339624
MAC300011426,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/13/2009,02/26/2010,,110024339624,CENTRAL DRAPERY AND DRYCLEANI,420 WATERTOWN ST,NEWTON,MA,2458,MIDDLESEX,1,42.35978,-71.2027,10900010704,4,24.006999999999998,6949.69,http://echo.epa.gov/detailed-facility-report?fid=110024339624
MAR000016592,MA,262.A,Standards Applicable to Generators of HW: General,S  ,03/06/2018,06/28/2018,,110006813902,BARRY INDUSTRIES,60 WALTON STREET,ATTLEBORO,MA,2703,BRISTOL,1,41.95778,-71.29951,10900040401,4,14.228,1774.39,http://echo.epa.gov/detailed-facility-report?fid=110006813902
MAR000016592,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/06/2018,06/28/2018,,110006813902,BARRY INDUSTRIES,60 WALTON STREET,ATTLEBORO,MA,2703,BRISTOL,1,41.95778,-71.29951,10900040401,4,14.228,1774.39,http://echo.epa.gov/detailed-facility-report?fid=110006813902
MAD985275478,MA,FEA,Violation of a formal enforcement agreement or order. (3008(a) or 3013),S  ,09/16/1988,03/07/1989,11/14/1988,110031236446,"WASTE MANAGEMENT OF MA, INC",205 O'NEIL BLVD,ATTLEBORO,MA,2703,BRISTOL,1,41.938536,-71.276119,10900040401,4,15.280999999999999,1407.97,http://echo.epa.gov/detailed-facility-report?fid=110031236446
MAD001011071,MA,262.A,Standards Applicable to Generators of HW: General,S  ,01/10/2001,02/16/2001,02/01/2001,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,262.A,Standards Applicable to Generators of HW: General,E  ,04/23/1984,08/19/1985,08/19/1985,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,262.A,Standards Applicable to Generators of HW: General,S  ,11/13/1991,02/13/1992,,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,262.A,Standards Applicable to Generators of HW: General,S  ,04/27/1988,09/07/1988,09/07/1988,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,02/06/2015,03/23/2015,03/17/2015,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD001011071,MA,262.A,Standards Applicable to Generators of HW: General,E  ,04/23/1984,11/13/1991,,110000312055,REED & BARTON SILVER,144 WEST BRITANNIA ST.,TAUNTON,MA,2780,BRISTOL,1,41.91895,-71.0999,10900040801,4,16.137999999999998,1674.72,http://echo.epa.gov/detailed-facility-report?fid=110000312055
MAD982545758,MA,264.I,Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/12/2007,08/14/2007,,110024340854,PLAINVILLE CROSSING DRYCLEANERS,13 TAUNTON ST,PLAINVILLE,MA,2762,NORFOLK,1,42.01063,-71.30566,10900040301,4,7.871,1203.49,http://echo.epa.gov/detailed-facility-report?fid=110024340854
MAD982545758,MA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,07/12/2007,08/24/2007,,110024340854,PLAINVILLE CROSSING DRYCLEANERS,13 TAUNTON ST,PLAINVILLE,MA,2762,NORFOLK,1,42.01063,-71.30566,10900040301,4,7.871,1203.49,http://echo.epa.gov/detailed-facility-report?fid=110024340854
MAD985307958,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/28/2008,04/17/2009,01/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/06/2009,04/10/2009,03/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,12/05/2002,01/02/2003,,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,01/06/2009,04/10/2009,03/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,08/28/2008,04/17/2009,01/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,08/28/2008,04/17/2009,01/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD985307958,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/28/2008,04/17/2009,01/12/2009,110044278108,MANHEIM NEW ENGLAND AUTO AUCTION,123 WILLIAMS ST,NORTH DIGHTON,MA,2764,BRISTOL,1,41.8715,-71.16486,10900040804,4,7.648,435.01,http://echo.epa.gov/detailed-facility-report?fid=110044278108
MAD115252710,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/25/1995,07/24/1995,07/17/1995,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,05/25/1995,01/30/1996,,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,262.A,Standards Applicable to Generators of HW: General,S  ,05/25/1995,07/24/1995,07/17/1995,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/25/1995,01/30/1996,,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/25/1995,01/30/1996,,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,05/25/1995,07/24/1995,07/17/1995,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD115252710,MA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,05/25/1995,06/06/1995,07/17/1995,110008407937,GEE JAY AUTO BODY INC,43 WEXFORD ST,NEEDHAM,MA,2494,NORFOLK,1,42.305,-71.22231,10900010703,4,17.562,3193.48,http://echo.epa.gov/detailed-facility-report?fid=110008407937
MAD063894786,MA,262.A,Standards Applicable to Generators of HW: General,S  ,04/05/1990,07/02/1990,05/23/1990,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,01/16/1997,08/21/1997,03/05/1997,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD063894786,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/23/1997,08/21/1997,03/05/1997,110000311528,GENERAL METAL FINISHING,42 FRANK MOSSBERG DR.,ATTLEBORO,MA,2703,BRISTOL,1,41.919140000000006,-71.32328000000001,10900040401,4,17.145,1908.89,http://echo.epa.gov/detailed-facility-report?fid=110000311528
MAD980671309,MA,262.A,Standards Applicable to Generators of HW: General,S  ,01/21/1987,07/22/1987,03/21/1987,110003454930,KENT SILVERSMITHS,5 MYRTLE ST,TAUNTON,MA,2780,BRISTOL,1,41.89868,-71.10084,10900040801,4,16.944000000000003,1658.31,http://echo.epa.gov/detailed-facility-report?fid=110003454930
MAD076581768,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/27/2007,06/18/2008,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,264.C,Standards for Owners and Operators of HW TSDs: Preparedness and Prevention,S  ,03/27/2007,06/18/2008,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,262.A,Standards Applicable to Generators of HW: General,S  ,03/27/2007,06/18/2008,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,264.D,Standards for Owners and Operators of HW TSDs: Contingency Plan and Emergency Procedures,S  ,03/27/2007,06/18/2008,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,273.B,Standards for Universal Waste Management: Standards for Small Quantity Handlers ,S  ,09/23/2015,01/06/2016,12/31/2015,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,261.A,ID and Listing of HW: General,S  ,01/28/2003,04/08/2003,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,09/23/2015,01/06/2016,12/31/2015,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/28/2003,04/08/2003,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,03/27/2007,06/18/2008,,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD076581768,MA,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,09/23/2015,01/06/2016,12/31/2015,110000882279,NEWTON WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,2462,MIDDLESEX,1,42.33093,-71.24776,10900010703,4,22.381999999999998,3719.64,http://echo.epa.gov/detailed-facility-report?fid=110000882279
MAD000211458,MA,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,08/07/1996,09/05/1996,,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
MAD000211458,MA,262.A,Standards Applicable to Generators of HW: General,S  ,06/24/1985,09/22/1993,,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
MAD000211458,MA,262.A,Standards Applicable to Generators of HW: General,E  ,01/19/1999,10/18/1999,10/14/1999,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
MAD000211458,MA,262.A,Standards Applicable to Generators of HW: General,S  ,06/24/1985,09/22/1993,08/23/1985,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
MAD000211458,MA,262.A,Standards Applicable to Generators of HW: General,S  ,10/17/1985,09/22/1993,11/29/1985,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
MAD000211458,MA,262.A,Standards Applicable to Generators of HW: General,S  ,12/26/1985,01/31/1986,01/31/1986,110000311626,TEKNOR APEX CO,330 VICTOR ROAD,ATTLEBORO,MA,2703,BRISTOL,1,41.909361,-71.293296,10900040401,4,15.887,1334.06,http://echo.epa.gov/detailed-facility-report?fid=110000311626
